row_index,column,value,lower_bound,upper_bound
350,mean_fps,237.67,-6.5612499999999585,237.66874999999993
986,mean_fps,248.54,-6.5612499999999585,237.66874999999993
987,mean_fps,243.21,-6.5612499999999585,237.66874999999993
1014,mean_fps,247.89,-6.5612499999999585,237.66874999999993
1015,mean_fps,250.61,-6.5612499999999585,237.66874999999993
1016,mean_fps,253.34,-6.5612499999999585,237.66874999999993
1017,mean_fps,253.34,-6.5612499999999585,237.66874999999993
1018,mean_fps,249.1,-6.5612499999999585,237.66874999999993
1019,mean_fps,269.21,-6.5612499999999585,237.66874999999993
1020,mean_fps,261.27,-6.5612499999999585,237.66874999999993
1021,mean_fps,251.85,-6.5612499999999585,237.66874999999993
1022,mean_fps,256.93,-6.5612499999999585,237.66874999999993
1023,mean_fps,250.86,-6.5612499999999585,237.66874999999993
1024,mean_fps,266.22,-6.5612499999999585,237.66874999999993
1025,mean_fps,266.52,-6.5612499999999585,237.66874999999993
1026,mean_fps,273.6,-6.5612499999999585,237.66874999999993
1183,mean_fps,261.57,-6.5612499999999585,237.66874999999993
1184,mean_fps,264.45,-6.5612499999999585,237.66874999999993
1185,mean_fps,267.63,-6.5612499999999585,237.66874999999993
1186,mean_fps,267.33,-6.5612499999999585,237.66874999999993
1187,mean_fps,262.85,-6.5612499999999585,237.66874999999993
1188,mean_fps,272.56,-6.5612499999999585,237.66874999999993
1189,mean_fps,276.06,-6.5612499999999585,237.66874999999993
1190,mean_fps,265.76,-6.5612499999999585,237.66874999999993
1191,mean_fps,271.12,-6.5612499999999585,237.66874999999993
1192,mean_fps,265.32,-6.5612499999999585,237.66874999999993
1193,mean_fps,274.69,-6.5612499999999585,237.66874999999993
1194,mean_fps,285.68,-6.5612499999999585,237.66874999999993
1195,mean_fps,285.44,-6.5612499999999585,237.66874999999993
1261,mean_fps,258.09,-6.5612499999999585,237.66874999999993
1262,mean_fps,260.93,-6.5612499999999585,237.66874999999993
1263,mean_fps,266.73,-6.5612499999999585,237.66874999999993
1264,mean_fps,263.77,-6.5612499999999585,237.66874999999993
1265,mean_fps,259.35,-6.5612499999999585,237.66874999999993
1266,mean_fps,268.93,-6.5612499999999585,237.66874999999993
1267,mean_fps,275.58,-6.5612499999999585,237.66874999999993
1268,mean_fps,262.22,-6.5612499999999585,237.66874999999993
1269,mean_fps,267.51,-6.5612499999999585,237.66874999999993
1270,mean_fps,267.11,-6.5612499999999585,237.66874999999993
